,Datetime,Open,High,Low,Close,240 avg,60 avg,delta 60 avg,buy,sell
3328,2022-11-10 06:43:00,0.29157352447509766,0.29157352447509766,0.29157352447509766,0.29157352447509766,0.2940305723498265,0.28827687054872514,1.8700336416530017e-06,buy,na
3419,2022-11-10 08:31:00,0.2928408980369568,0.2928408980369568,0.2928408980369568,0.2928408980369568,0.29246328013638656,0.2937041724721591,-6.863226493167285e-07,na,sell
3532,2022-11-10 10:47:00,0.3170635998249054,0.3170635998249054,0.3170635998249054,0.3170635998249054,0.3042915381491184,0.3213581477602323,-1.1537720759707826e-05,na,sell
3614,2022-11-10 12:25:00,0.3185120224952698,0.3185120224952698,0.3185120224952698,0.3185120224952698,0.314318760111928,0.3208074316382408,-1.2849768002837214e-06,na,sell
3698,2022-11-10 13:58:00,0.3064780831336975,0.3064780831336975,0.3064780831336975,0.3064780831336975,0.31622033851842085,0.30706493308146793,5.078936616581542e-06,buy,na
3733,2022-11-10 14:36:00,0.30797508358955383,0.30797508358955383,0.30797508358955383,0.30797508358955383,0.3145265226562818,0.30699466516574225,3.226163486635958e-06,buy,na
3870,2022-11-10 17:05:00,0.31490349769592285,0.31490349769592285,0.31490349769592285,0.31490349769592285,0.3103071726858616,0.3157975102464358,-3.0434379975005643e-06,na,sell
3954,2022-11-10 18:32:00,0.3159719705581665,0.3159719705581665,0.3159719705581665,0.3159719705581665,0.3136549403270086,0.3172798380255699,-1.7622485756832451e-06,na,sell
4026,2022-11-10 19:46:00,0.3184939920902252,0.3184939920902252,0.3184939920902252,0.3184939920902252,0.316764172911644,0.31931725988785425,-4.63444739580432e-06,na,sell
4084,2022-11-10 20:47:00,0.31823450326919556,0.31823450326919556,0.31823450326919556,0.31823450326919556,0.3189102644721667,0.3232225884993871,-1.204510529831393e-06,na,sell
4242,2022-11-10 23:44:00,0.30156219005584717,0.30156219005584717,0.30156219005584717,0.30156219005584717,0.3114199588696162,0.3007154529293378,7.7487279971436e-06,buy,na
4436,2022-11-11 03:31:00,0.3128148317337036,0.3128148317337036,0.3128148317337036,0.3128148317337036,0.30789402263859905,0.3131474549571673,-3.995001316071944e-06,na,sell
4479,2022-11-11 04:20:00,0.3125242292881012,0.3125242292881012,0.3125242292881012,0.3125242292881012,0.31019748710095885,0.31345590700705844,-9.605040152821376e-08,na,sell
4518,2022-11-11 05:08:00,0.3145480155944824,0.3145480155944824,0.3145480155944824,0.3145480155944824,0.3121307165672382,0.31391935994227727,-2.908085783320802e-06,na,sell
4598,2022-11-11 06:43:00,0.31150129437446594,0.31150129437446594,0.31150129437446594,0.31150129437446594,0.312745526060462,0.31119836221138636,3.626756370070372e-06,buy,na
4622,2022-11-11 07:09:00,0.31192752718925476,0.31192752718925476,0.31192752718925476,0.31192752718925476,0.3126387223601341,0.3112424100438754,2.8407822052628484e-06,buy,na
4670,2022-11-11 08:01:00,0.3125016987323761,0.3125016987323761,0.3125016987323761,0.3125016987323761,0.3121473266432683,0.31085913280646005,5.23601969083104e-06,buy,na
4730,2022-11-11 09:12:00,0.3079001307487488,0.3079001307487488,0.3079001307487488,0.3079001307487488,0.3125607760002216,0.3151637693246206,-2.191370973984169e-05,na,sell
4803,2022-11-11 10:37:00,0.2957848906517029,0.2957848906517029,0.2957848906517029,0.2957848906517029,0.30725500310460724,0.29429785956939064,1.2869946658611298e-05,buy,na
4896,2022-11-11 12:26:00,0.2931201457977295,0.2931201457977295,0.2931201457977295,0.2931201457977295,0.29999429124097027,0.29131533602873483,2.0710130532591853e-06,buy,na
4986,2022-11-11 14:09:00,0.29427868127822876,0.29427868127822876,0.29427868127822876,0.29427868127822876,0.2940973650664091,0.29664552410443623,-3.881131609290156e-07,na,sell
5108,2022-11-11 16:33:00,0.29292047023773193,0.29292047023773193,0.29292047023773193,0.29292047023773193,0.2933472704142332,0.28998941332101824,4.9762427806812615e-06,buy,na
5250,2022-11-11 19:28:00,0.2978735864162445,0.2978735864162445,0.2978735864162445,0.2978735864162445,0.29482201461990676,0.29923347383737564,-3.516674041748047e-06,na,sell
5271,2022-11-11 19:52:00,0.2965635359287262,0.2965635359287262,0.2965635359287262,0.2965635359287262,0.29521155593295895,0.29913560499747593,-1.0022893547970146e-06,na,sell
5352,2022-11-11 21:28:00,0.29444390535354614,0.29444390535354614,0.29444390535354614,0.29444390535354614,0.29613737637797993,0.2930181925495466,1.0574857393919057e-06,buy,na
5575,2022-11-12 01:46:00,0.27523502707481384,0.27523502707481384,0.27523502707481384,0.27523502707481384,0.2841279542694489,0.2737045978506406,4.0694450338663035e-06,buy,na
5717,2022-11-12 04:29:00,0.27683401107788086,0.27683401107788086,0.27683401107788086,0.27683401107788086,0.27610143857697644,0.2760660817225774,2.291053533692855e-08,buy,na
5836,2022-11-12 06:38:00,0.28048214316368103,0.28048214316368103,0.28048214316368103,0.28048214316368103,0.27781452871859075,0.2795271302262942,-8.113682270077804e-07,na,sell
5880,2022-11-12 07:29:00,0.27891939878463745,0.27891939878463745,0.27891939878463745,0.27891939878463745,0.2782251889506976,0.2798629050453504,-1.4014542102855354e-06,na,sell
5920,2022-11-12 08:14:00,0.2778353691101074,0.2778353691101074,0.2778353691101074,0.2778353691101074,0.27876088097691537,0.27950530449549355,-2.023763954639435e-06,na,sell
5987,2022-11-12 09:28:00,0.27866438031196594,0.27866438031196594,0.27866438031196594,0.27866438031196594,0.27906561295191445,0.2780777151385943,4.312396049498124e-06,buy,na
6056,2022-11-12 10:50:00,0.2792096734046936,0.2792096734046936,0.2792096734046936,0.2792096734046936,0.27919707720478376,0.27973449726899463,-1.917282740279691e-07,na,sell
6241,2022-11-12 14:22:00,0.2767237424850464,0.2767237424850464,0.2767237424850464,0.2767237424850464,0.2779352894673745,0.27626291165749234,3.570069869382464e-07,buy,na
6377,2022-11-12 16:47:00,0.274142861366272,0.274142861366272,0.274142861366272,0.274142861366272,0.2757964006314675,0.2739767054716746,2.0619481801986694e-06,buy,na
6418,2022-11-12 17:30:00,0.27452364563941956,0.27452364563941956,0.27452364563941956,0.27452364563941956,0.27533156499266626,0.27434079299370445,3.0597050985209373e-07,buy,na
6475,2022-11-12 18:28:00,0.2753807008266449,0.2753807008266449,0.2753807008266449,0.2753807008266449,0.2751349580784639,0.27533609767754874,2.0494249959784883e-05,na,na
